Time,PmuID,PmuCoordinates,DataSize,GNB_Target,Path,HopSum,Status
0.6667,9,"(33.9,1429.9)",2.00,GNB_5,"PMU -> GNB_5 (0.0063s, 471.3m) -> TELCO (0.0294s, 707.1m) -> TSO (0.0595s, 1415.6m)",0.0952,OK
0.6667,10,"(1367.3,1097.7)",2.00,GNB_4,"PMU -> GNB_4 (0.0142s, 164.8m) -> TELCO (0.0352s, 500.0m) -> TSO (0.0783s, 1415.6m)",0.1277,OK
1.0000,11,"(367.2,901.1)",2.00,GNB_3,"PMU -> GNB_3 (0.0090s, 165.6m) -> TELCO (0.0423s, 500.0m) -> TSO (0.0807s, 1415.6m)",0.1320,OK
1.0000,12,"(700.5,968.9)",2.00,GNB_3,"PMU -> GNB_3 (0.0140s, 202.9m) -> TELCO (0.0373s, 500.0m) -> TSO (0.0702s, 1415.6m)",0.1215,OK
1.0000,13,"(1700.5,1964.6)",2.00,GNB_6,"PMU -> GNB_6 (0.0188s, 506.0m) -> TELCO (0.0378s, 707.1m) -> TSO (0.0798s, 1415.6m)",0.1364,OK
1.0000,14,"(700.5,1633.2)",2.00,GNB_5,"PMU -> GNB_5 (0.0128s, 240.8m) -> TELCO (0.0358s, 707.1m) -> TSO (0.0871s, 1415.6m)",0.1357,OK
1.0000,15,"(1033.7,372.4)",2.00,GNB_2,"PMU -> GNB_2 (0.0000s, 483.4m) -> TELCO (0.0336s, 707.1m) -> TSO (0.0711s, 1415.6m)",0.1047,OK
1.0000,16,"(1700.2,440.2)",2.00,GNB_2,"PMU -> GNB_2 (0.0020s, 209.0m) -> TELCO (0.0393s, 707.1m) -> TSO (0.0839s, 1415.6m)",0.1252,OK
1.0000,17,"(700.4,636.8)",2.00,GNB_1,"PMU -> GNB_1 (0.0136s, 242.7m) -> TELCO (0.0375s, 707.1m) -> TSO (0.0706s, 1415.6m)",0.1217,OK
1.0000,18,"(1700.3,1504.6)",2.00,GNB_6,"PMU -> GNB_6 (0.0177s, 200.4m) -> TELCO (0.0368s, 707.1m) -> TSO (0.0700s, 1415.6m)",0.1245,OK
1.0000,19,"(33.6,1043.7)",2.00,GNB_3,"PMU -> GNB_3 (0.0080s, 468.4m) -> TELCO (0.0387s, 500.0m) -> TSO (0.0815s, 1415.6m)",0.1282,OK
1.0000,0,"(700.2,311.5)",2.00,GNB_1,"PMU -> GNB_1 (0.0162s, 275.0m) -> TELCO (0.0370s, 707.1m) -> TSO (0.0754s, 1415.6m)",0.1286,OK
1.0000,1,"(367.0,1707.8)",2.00,GNB_5,"PMU -> GNB_5 (0.0027s, 246.7m) -> TELCO (0.0406s, 707.1m) -> TSO (0.0550s, 1415.6m)",0.0983,OK
1.0000,2,"(33.6,1775.4)",2.00,GNB_5,"PMU -> GNB_5 (0.0103s, 541.6m) -> TELCO (0.0350s, 707.1m) -> TSO (0.0904s, 1415.6m)",0.1357,OK
1.0000,3,"(1366.8,114.9)",2.00,GNB_2,"PMU -> GNB_2 (0.0126s, 407.4m) -> TELCO (0.0397s, 707.1m) -> TSO (0.0746s, 1415.6m)",0.1269,OK
1.0000,4,"(33.4,182.8)",2.00,GNB_1,"PMU -> GNB_1 (0.0173s, 564.2m) -> TELCO (0.0431s, 707.1m) -> TSO (0.0689s, 1415.6m)",0.1293,OK
